,WHO Regional,"Country, territory, area",Total number of
0,Office,,confirmed cases
1,WPRO,China – Hubei Province,258
2,,China – Guangdong,14
3,,China – Beijing Municipality,5
4,,China – Shanghai Municipality,1
5,,Japan,1
6,,Republic of Korea,1
7,SEARO,Thailand,2
8,Total confirmed,,282
9,cases,,
