,Province/Region/City,Confirmed Cases
0,Hubei,7153
1,Zhejiang,599
2,Guangdong,520
3,Henan,422
4,Hunan,389
5,Anhui,297
6,Jiangxi,286
7,Chongqing,238
8,Sichuan,207
9,Jiangsu,202
10,Shandong,202
11,Beijing,156
12,Shanghai,153
13,Fujian,144
14,Shaanxi,101
15,Guangxi,100
16,Hebei,96
17,Yunnan,91
18,Heilongjiang,80
19,Liaoning,60
20,Hainan,57
21,Shanxi,47
22,Gansu,35
23,Tianjin,34
24,Guizhou,29
25,Ningxia,26
26,Inner Mongolia,23
27,Xinjiang,18
28,Jilin,17
29,Hong Kong SAR,13
30,Taipei,10
31,Qinghai,8
32,Macau SAR,7
33,Xizang,1
34,Total,11821
