,Province/Region/City,Confirmed Cases
0,Hubei,13522.0
1,Zhejiang,829.0
2,Guangdong,797.0
3,Henan,675.0
4,Hunan,593.0
5,Anhui,480.0
6,Jiangxi,476.0
7,Chongqing,337.0
8,Jiangsu,308.0
9,Sichuan,282.0
10,Shandong,270.0
11,Beijing,228.0
12,Shanghai,208.0
13,Fujian,194.0
14,Heilongjiang,155.0
15,Shaanxi,142.0
16,Guangxi,139.0
17,Hebei,126.0
18,Yunnan,117.0
19,Hainan,79.0
20,Liaoning,74.0
21,Shanxi,74.0
22,Tianjin,63.0
23,Gansu,56.0
24,Guizhou,56.0
25,Jilin,42.0
26,Inner Mongolia,37.0
27,Ningxia,34.0
28,Xinjiang,29.0
29,Hong Kong SAR,15.0
30,Qinghai,15.0
31,Taipei,10.0
32,Macao SAR,8.0
33,Xizang,1.0
34,,20471.0
35,Total,
