,Unnamed: 0,Unnamed: 1,Unnamed: 2,Likely place of exposure†,Unnamed: 3,Unnamed: 4
0,,,,Outside,,
1,,Confirmed  *,,In,Total cases with site of,Total
2,Country/Territory/Area,,,reporting,transmission under,deaths
3,,cases (new),,China country and reporting,,
4,,,,(new) country,investigation (new),(new)
5,,,,outside,,
6,,,,(new),,
7,,,,China (new),,
8,Western Pacific Region,,,,,
9,Republic of Korea,346 (142),,13 (0) 4 (0) 288 (130),41 (12),2 (1)
10,Japan,105 (12),,28 (1) 5 (0) 68 (11),4 (0),1 (0)
11,Singapore,86 (1),,23 (0) 0 (0) 56 (1),7 (0),0 (0)
12,Malaysia,22 (0),,17 (0) 1 (0) 2 (0),2 (0),0 (0)
13,Australia,21 (4),,12 (0) 6 (4) 3 (0),0 (0),0 (0)
14,Viet Nam,16 (0),,8 (0) 0 (0) 8 (0),0 (0),0 (0)
15,Philippines,3 (0),,3 (0) 0 (0) 0 (0),0 (0),1 (0)
16,Cambodia,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
17,South-East Asia Region,,,,,
18,Thailand,35 (0),,23 (0) 0 (0) 5 (0),7 (0),0 (0)
19,India,3 (0),,3 (0) 0 (0) 0 (0),0 (0),0 (0)
20,Nepal,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
21,Sri Lanka,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
22,Region of the Americas,,,,,
23,United States of,,,,,
24,America,35 (20),,14 (1) 18 (18) 2 (0),1 (1),0 (0)
25,Canada,8 (0),,7 (0) 0 (0) 0 (0),1 (0),0 (0)
26,European Region,,,,,
27,Germany,16 (0),,2 (0) 0 (0) 14 (0),0 (0),0 (0)
28,France,12 (0),,5 (0) 0 (0) 7 (0),0 (0),1 (0)
29,Italy,9 (6),,3 (0) 0 (0) 6 (6),0 (0),0 (0)
30,The United Kingdom,9 (0),,2 (0) 6 (0) 1 (0),0 (0),0 (0)
31,Russian Federation,2 (0),,2 (0) 0 (0) 0 (0),0 (0),0 (0)
32,Spain,2 (0),,0 (0) 2 (0) 0 (0),0 (0),0 (0)
33,Belgium,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
34,Finland,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
35,Israel,1 (1),,0 (0) 1 (1) 0 (0),0 (0),0 (0)
36,Sweden,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
37,Eastern Mediterranean Region,,,,,
38,Iran (Islamic Republic of),18 (13),,0 (0) 0 (0) 18 (13),0 (0),4 (2)
39,United Arab Emirates,11 (2),,6 (0) 0 (0) 5 (2),0 (0),0 (0)
40,Egypt,1 (0),,0 (0) 0 (0) 1 (0),0 (0),0 (0)
41,Lebanon,1 (1),,0 (0) 1 (1) 0 (0),0 (0),0 (0)
42,,,,,,
43,Subtotal for all regions,768 (202),,177 (2) 44 (24) 484 (163),63 (13),9 (0)
44,International,,,,,
45,conveyance‡ (Diamond,,,,,
46,Princess),634 (0),,0 (0) 0 (0) 0 (0),634 (0),2 (0)
47,Grand total,1402 (202),,177 (2) 44 (24) 484 (163),697 (13),11 (3)
