,Cumulative Province/  Daily,Unnamed: 0
0,Population,
1,Region/,
2,"(10,000s)",
3,Confirmed Suspected,Confirmed
4,City cases cases,Deaths cases Deaths
5,,
6,Hubei 5917 630 631,96 64084 2346
7,Guangdong 11346 3 0,1 1342 6
8,Henan 9605 1 12,0 1271 19
9,Zhejiang 5737 0 2,0 1205 1
10,Hunan 6899 3 0,0 1016 4
11,Anhui 6324 0 0,0 989 6
12,Jiangxi 4648 0 0,0 934 1
13,Shandong 10047 4 2,0 754 4
14,Jiangsu 8051 0 0,0 631 0
15,Chongqing 3102 1 21,0 573 6
16,Sichuan 8341 0 15,0 526 3
17,Heilongjiang 3773 1 0,0 480 12
18,Beijing 2154 0 35,0 399 4
19,Shanghai 2424 1 52,0 335 3
20,Hebei 7556 2 0,0 311 6
21,Fujian 3941 0 0,0 293 1
22,Guangxi 4926 0 12,0 249 2
23,Shaanxi 3864 0 2,0 245 1
24,Yunnan 4830 0 11,0 174 2
25,Hainan 934 0 14,0 168 4
26,Guizhou 3600 0 0,0 146 2
27,Tianjin 1560 2 51,0 135 3
28,Shanxi 3718 0 1,0 132 0
29,Liaoning 4359 0 13,0 121 1
30,Jilin 2704 0 7,0 91 1
31,Gansu 2637 0 0,0 91 2
32,Xinjiang 2487 0 0,0 76 2
33,Inner Mongolia 2534 0 0,0 75 0
34,Ningxia 688 0 1,0 71 0
35,Hong Kong SAR 745 2 0,0 70 2
36,Taipei and environs 2359 0 0,0 26 1
37,Qinghai 603 0 0,0 18 0
38,Macao SAR 66 0 0,0 10 0
39,Xizang 344 0 0,0 1 0
40,Total 142823 650 882,97 77042 2445
