,Unnamed: 0,Unnamed: 1,Unnamed: 2,Likely place of exposure†,Unnamed: 3,Unnamed: 4
0,,,,Outside,,
1,,Confirmed  *,,In,Total cases with site of,Total
2,Country/Territory/Area,cases (new),,reporting China country and reporting,transmission under,deaths
3,,,,(new) country,investigation (new),(new)
4,,,,outside,,
5,,,,(new),,
6,,,,China (new),,
7,Western Pacific Region,,,,,
8,Republic of Korea,602 (256),,13 (0) 4 (0) 353 (65),232 (191),5 (3)
9,Japan,132 (27),,28 (0) 5 (0) 92 (24),7 (3),1 (0)
10,Singapore,89 (3),,24 (1) 0 (0) 58 (2),7 (0),0 (0)
11,Australia,22 (1),,12 (0) 7 (1) 3 (0),0 (0),0 (0)
12,Malaysia,22 (0),,17 (0) 1 (0) 2 (0),2 (0),0 (0)
13,Viet Nam,16 (0),,8 (0) 0 (0) 8 (0),0 (0),0 (0)
14,Philippines,3 (0),,3 (0) 0 (0) 0 (0),0 (0),1 (0)
15,Cambodia,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
16,South-East Asia Region,,,,,
17,Thailand,35 (0),,23 (0) 0 (0) 5 (0),7 (0),0 (0)
18,India,3 (0),,3 (0) 0 (0) 0 (0),0 (0),0 (0)
19,Nepal,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
20,Sri Lanka,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
21,Region of the Americas,,,,,
22,United States of,,,,,
23,America,35 (0),,14 (0) 18 (0) 2 (0),1 (0),0 (0)
24,Canada,9 (1),,7 (0) 1 (1) 0 (0),1 (0),0 (0)
25,European Region,,,,,
26,Italy,76 (67),,3 (0) 0 (0) 9 (3),64 (64),2 (2)
27,Germany,16 (0),,2 (0) 0 (0) 14 (0),0 (0),0 (0)
28,France,12 (0),,5 (0) 0 (0) 7 (0),0 (0),1 (0)
29,The United Kingdom,9 (0),,2 (0) 6 (0) 1 (0),0 (0),0 (0)
30,Russian Federation,2 (0),,2 (0) 0 (0) 0 (0),0 (0),0 (0)
31,Spain,2 (0),,0 (0) 2 (0) 0 (0),0 (0),0 (0)
32,Belgium,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
33,Finland,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
34,Israel,1 (0),,0 (0) 1 (0) 0 (0),0 (0),0 (0)
35,Sweden,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
36,Eastern Mediterranean Region,,,,,
37,Iran (Islamic Republic of),28 (10),,0 (0) 0 (0) 18 (0),10 (10),5 (1)
38,United Arab Emirates,13 (2),,6 (0) 2 (2) 5 (0),0 (0),0 (0)
39,Egypt,1 (0),,0 (0) 0 (0) 1 (0),0 (0),0 (0)
40,Lebanon,1 (0),,0 (0) 1 (0) 0 (0),0 (0),0 (0)
41,,,,,,
42,Subtotal for all regions,1135 (367),,178 (1) 48 (4) 578 (94),331 (268),15 (6)
43,International,,,,,
44,conveyance‡ (Diamond,,,,,
45,Princess),634 (0),,0 (0) 0 (0) 0 (0),634 (0),2 (0)
46,Grand total,1769 (367),,178 (1) 48 (4) 578 (94),965 (268),17 (6)
