,Province/Region/City,Confirmed Cases
0,Hubei,31728
1,Guangdong,1177
2,Zhejiang,1117
3,Henan,1105
4,Hunan,912
5,Anhui,860
6,Jiangxi,804
7,Jiangsu,515
8,Chongqing,486
9,Shandong,486
10,Sichuan,417
11,Heilongjiang,360
12,Beijing,342
13,Shanghai,302
14,Fujian,267
15,Hebei,239
16,Shaanxi,219
17,Guangxi,215
18,Yunnan,149
19,Hainan,142
20,Shanxi,122
21,Guizhou,118
22,Liaoning,108
23,Tianjin,96
24,Gansu,86
25,Jilin,81
26,Inner Mongolia,58
27,Xinjiang,55
28,Ningxia,53
29,Hong Kong SAR,42
30,Qinghai,18
31,Taipei and environs,18
32,Macao SAR,10
33,Xizang,1
34,Total,42 708
