,Unnamed: 0,Unnamed: 1,Unnamed: 2,Likely place of exposure‡,Unnamed: 3,Unnamed: 4
0,,,,Outside,,
1,,Confirmed  †,,In reporting,Total cases with site of,Total
2,Country/Territory/Area,,,China reporting,transmission under,deaths
3,,cases (new),,country and,,
4,,,,(new) country,investigation (new),(new)
5,,,,outside,,
6,,,,(new),,
7,,,,China (new),,
8,Western Pacific Region,,,,,
9,Republic of Korea,977 (214),,13 (0) 4 (0) 605 (0),355 (214),10 (3)
10,Japan,157 (13),,28 (0) 7 (2) 110 (3),12 (8),1 (0)
11,Singapore,90 (1),,24 (0) 0 (0) 66 (1),0 (0),0 (0)
12,Australia,22 (0),,12 (0) 7 (0) 3 (0),0 (0),0 (0)
13,Malaysia,22 (0),,18 (0) 2 (0) 2 (0),0 (0),0 (0)
14,Viet Nam,16 (0),,8 (0) 0 (0) 8 (0),0 (0),0 (0)
15,Philippines,3 (0),,3 (0) 0 (0) 0 (0),0 (0),1 (0)
16,Cambodia,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
17,South-East Asia Region,,,,,
18,Thailand,37 (2),,23 (0) 0 (0) 7 (1),7 (1),0 (0)
19,India,3 (0),,3 (0) 0 (0) 0 (0),0 (0),0 (0)
20,Nepal,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
21,Sri Lanka,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
22,Region of the Americas,,,,,
23,United States of America,53 (18),,14 (0) 36 (18) 2 (0),1 (0),0 (0)
24,Canada,10 (1),,7 (0) 1 (0) 1 (0),1 (1),0 (0)
25,European Region,,,,,
26,Italy,229 (105),,3 (0) 0 (0) 121 (0),105 (105),6 (4)
27,Germany,16 (0),,2 (0) 0 (0) 14 (0),0 (0),0 (0)
28,France,12 (0),,5 (0) 0 (0) 7 (0),0 (0),1 (0)
29,The United Kingdom*,13 (0),,2 (0) 10 (0) 1 (0),0 (0),0 (0)
30,Israel,2 (1),,0 (0) 2 (1) 0 (0),0 (0),0 (0)
31,Russian Federation,2 (0),,2 (0) 0 (0) 0 (0),0 (0),0 (0)
32,Spain,2 (0),,0 (0) 2 (0) 0 (0),0 (0),0 (0)
33,Belgium,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
34,Finland,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
35,Sweden,1 (0),,1 (0) 0 (0) 0 (0),0 (0),0 (0)
36,Eastern Mediterranean Region,,,,,
37,Iran (Islamic Republic of),61 (18),,0 (0) 0 (0) 28 (0),33 (18),12 (4)
38,United Arab Emirates,13 (0),,6 (0) 2 (0) 5 (0),0 (0),0 (0)
39,Bahrain,8 (8),,0 (0) 8 (8) 0 (0),0 (0),0 (0)
40,Kuwait,8 (5),,0 (0) 8 (5) 0 (0),0 (0),0 (0)
41,Oman,2 (2),,0 (0) 2 (2) 0 (0),0 (0),0 (0)
42,Afghanistan,1 (1),,0 (0) 1 (1) 0 (0),0 (0),0 (0)
43,Egypt,1 (0),,0 (0) 0 (0) 1 (0),0 (0),0 (0)
44,Iraq,1 (1),,0 (0) 1 (1) 0 (0),0 (0),0 (0)
45,Lebanon,1 (0),,0 (0) 1 (0) 0 (0),0 (0),0 (0)
46,,,,,,
47,Subtotal for all regions,1768 (390),,0 (0) 94 (38) 981 (5),514 (347),31 (11)
48,International conveyance§,,,,,
49,,691 (0),,0 (0) 0 (0) 0 (0),691 (0),3 (0)
50,(Diamond Princess),,,,,
51,Grand total,2459 (390),,179 (0) 94 (38) 981 (5),1205 (347),34 (11)
