,Province/Region/City,Confirmed Cases
0,Hubei,16678
1,Zhejiang,895
2,Guangdong,870
3,Henan,764
4,Hunan,661
5,Anhui,530
6,Jiangxi,548
7,Chongqing,366
8,Jiangsu,341
9,Sichuan,301
10,Shandong,298
11,Beijing,253
12,Shanghai,233
13,Fujian,205
14,Heilongjiang,190
15,Shaanxi,165
16,Guangxi,150
17,Hebei,135
18,Yunnan,122
19,Hainan,89
20,Liaoning,81
21,Shanxi,81
22,Tianjin,67
23,Gansu,57
24,Guizhou,64
25,Jilin,54
26,Inner Mongolia,42
27,Ningxia,34
28,Xinjiang,32
29,Hong Kong SAR,18
30,Qinghai,17
31,Taipei and environs,11
32,Macao SAR,10
33,Xizang,1
34,Total,24363
