,Date reported,Hubei Province,China,Proportion from Hubei
0,1 February 2020,1347,2101,64%
1,31 January 2020,1220,1984,61%
2,30 January 2020,1032,1739,59%
3,29 January 2020,840,1460,58%
4,28 January 2020,1291,1796,72%
5,27 January 2020,371,756,49%
6,26 January 2020,323,688,47%
