,Province/Region/City,Confirmed Cases
0,Hubei,19 665
1,Zhejiang,954
2,Guangdong,944
3,Henan,851
4,Hunan,711
5,Anhui,591
6,Jiangxi,600
7,Chongqing,389
8,Jiangsu,373
9,Sichuan,321
10,Shandong,343
11,Beijing,274
12,Shanghai,254
13,Fujian,215
14,Heilongjiang,227
15,Shaanxi,173
16,Guangxi,168
17,Hebei,157
18,Yunnan,128
19,Hainan,100
20,Liaoning,89
21,Shanxi,90
22,Tianjin,70
23,Gansu,62
24,Guizhou,69
25,Jilin,59
26,Inner Mongolia,46
27,Ningxia,40
28,Xinjiang,36
29,Hong Kong SAR,21
30,Qinghai,18
31,Taipei and environs,11
32,Macao SAR,10
33,Xizang,1
34,Total,28 060
