,Cumulative Province/  Daily,Unnamed: 0
0,Population,
1,Region/,
2,"(10,000s)",
3,Confirmed Suspected,Confirmed
4,City cases cases,Deaths cases Deaths
5,,
6,Hubei 5917 499 373,68 64786 2563
7,Guangdong 11346 2 0,1 1347 7
8,Henan 9605 0 5,0 1271 19
9,Zhejiang 5737 0 1,0 1205 1
10,Hunan 6899 0 1,0 1016 4
11,Anhui 6324 0 0,0 989 6
12,Jiangxi 4648 0 0,0 934 1
13,Shandong 10047 0 0,2 755 6
14,Jiangsu 8051 0 0,0 631 0
15,Chongqing 3102 1 13,0 576 6
16,Sichuan 8341 2 7,0 529 3
17,Heilongjiang 3773 0 0,0 480 12
18,Beijing 2154 1 18,0 400 4
19,Shanghai 2424 0 30,0 335 3
20,Hebei 7556 0 0,0 311 6
21,Fujian 3941 1 0,0 294 1
22,Guangxi 4926 1 3,0 252 2
23,Shaanxi 3864 0 0,0 245 1
24,Yunnan 4830 0 9,0 174 2
25,Hainan 934 0 9,0 168 5
26,Guizhou 3600 0 0,0 146 2
27,Tianjin 1560 0 38,0 135 3
28,Shanxi 3718 1 0,0 133 0
29,Liaoning 4359 0 9,0 121 1
30,Jilin 2704 0 14,0 93 1
31,Gansu 2637 0 0,0 91 2
32,Hong Kong SAR 745 7 0,0 81 2
33,Xinjiang 2487 0 0,0 76 2
34,Inner Mongolia 2534 0 0,0 75 0
35,Ningxia 688 0 0,0 71 0
36,Taipei and environs 2359 3 0,0 31 1
37,Qinghai 603 0 0,0 18 0
38,Macao SAR 66 0 0,0 10 0
39,Xizang 344 0 0,0 1 0
40,Total 142823 518 530,71 77780 2666
