,Cumulative Province/  Daily,Unnamed: 0
0,Population,
1,Region/,
2,"(10,000s)",
3,Confirmed Suspected,Confirmed
4,City cases cases,Deaths cases Deaths
5,,
6,Hubei 5917 349 880,108 62031 2029
7,Guangdong 11346 1 1,0 1332 5
8,Henan 9605 4 66,0 1265 19
9,Zhejiang 5737 2 6,0 1175 0
10,Hunan 6899 2 5,0 1010 4
11,Anhui 6324 1 0,0 987 6
12,Jiangxi 4648 1 0,0 934 1
13,Jiangsu 8051 0 1,0 631 0
14,Chongqing 3102 5 45,0 560 5
15,Shandong 10047 2 10,1 546 4
16,Sichuan 8341 6 21,0 520 3
17,Heilongjiang 3773 6 4,0 476 12
18,Beijing 2154 2 25,0 395 4
19,Shanghai 2424 0 56,1 333 2
20,Hebei 7556 1 0,1 307 5
21,Fujian 3941 0 0,1 293 1
22,Guangxi 4926 1 17,0 245 2
23,Shaanxi 3864 3 8,1 245 1
24,Yunnan 4830 0 21,1 172 1
25,Hainan 934 5 16,0 168 4
26,Guizhou 3600 0 2,0 146 2
27,Shanxi 3718 0 1,0 131 0
28,Tianjin 1560 2 57,0 130 3
29,Liaoning 4359 0 26,0 121 1
30,Gansu 2637 1 9,0 91 1
31,Jilin 2704 0 0,0 91 2
32,Xinjiang 2487 0 0,0 76 1
33,Inner Mongolia 2534 0 0,0 75 0
34,Ningxia 688 0 0,0 71 0
35,Hong Kong SAR 745 3 0,1 65 2
36,Taipei and environs 2359 2 0,0 24 1
37,Qinghai 603 0 0,0 18 0
38,Macao SAR 66 0 0,0 10 0
39,Xizang 344 0 0,0 1 0
40,Total 142823 399 1277,115 74675 2121
