,Cumulative Province/  Daily,Unnamed: 0
0,Population,
1,Region/,
2,"(10,000s)",
3,Confirmed Suspected,Confirmed
4,City cases cases,Deaths cases Deaths
5,,
6,Hubei 5917 631 1279,115 62662 2144
7,Guangdong 11346 1 1,0 1333 5
8,Henan 9605 2 31,0 1267 19
9,Zhejiang 5737 28 4,1 1203 1
10,Hunan 6899 1 5,0 1011 4
11,Anhui 6324 1 1,0 988 6
12,Jiangxi 4648 0 0,0 934 1
13,Shandong 10047 202 14,0 748 4
14,Jiangsu 8051 0 1,0 631 0
15,Chongqing 3102 7 28,1 567 6
16,Sichuan 8341 5 15,0 525 3
17,Heilongjiang 3773 3 1,0 479 12
18,Beijing 2154 1 41,0 396 4
19,Shanghai 2424 1 62,0 334 2
20,Hebei 7556 1 0,0 308 5
21,Fujian 3941 0 0,0 293 1
22,Guangxi 4926 1 15,0 246 2
23,Shaanxi 3864 0 8,0 245 1
24,Yunnan 4830 2 21,1 174 2
25,Hainan 934 0 16,0 168 4
26,Guizhou 3600 0 3,0 146 2
27,Shanxi 3718 1 5,0 132 0
28,Tianjin 1560 1 37,0 131 3
29,Liaoning 4359 0 20,0 121 1
30,Jilin 2704 0 4,0 91 1
31,Gansu 2637 0 1,0 91 2
32,Xinjiang 2487 0 0,0 76 1
33,Inner Mongolia 2534 0 0,0 75 0
34,Ningxia 688 0 1,0 71 0
35,Hong Kong SAR 745 3 0,0 68 2
36,Taipei and environs 2359 2 0,0 26 1
37,Qinghai 603 0 0,0 18 0
38,Macao SAR 66 0 0,0 10 0
39,Xizang 344 0 0,0 1 0
40,Total 142823 894 1614,118 75569 2239
