,Province/Region/City,Confirmed Cases
0,Hubei,29631
1,Guangdong,1151
2,Zhejiang,1104
3,Henan,1073
4,Hunan,879
5,Anhui,830
6,Jiangxi,771
7,Jiangsu,492
8,Chongqing,468
9,Shandong,459
10,Sichuan,405
11,Beijing,337
12,Heilongjiang,331
13,Shanghai,295
14,Fujian,261
15,Hebei,218
16,Shaanxi,213
17,Guangxi,210
18,Yunnan,141
19,Hainan,136
20,Shanxi,119
21,Guizhou,109
22,Liaoning,107
23,Tianjin,91
24,Gansu,85
25,Jilin,80
26,Inner Mongolia,58
27,Ningxia,49
28,Xinjiang,49
29,Hong Kong SAR,36
30,Qinghai,18
31,Taipei and environs,18
32,Macao SAR,10
33,Xizang,1
34,Total,40 235
