,Province/Region/City,Confirmed Cases
0,Hubei,27 100
1,Guangdong,1120
2,Zhejiang,1075
3,Henan,1033
4,Hunan,838
5,Anhui,779
6,Jiangxi,740
7,Jiangsu,468
8,Chongqing,446
9,Shandong,435
10,Sichuan,386
11,Beijing,326
12,Heilongjiang,307
13,Shanghai,292
14,Fujian,250
15,Shaanxi,208
16,Hebei,206
17,Guangxi,195
18,Yunnan,140
19,Hainan,128
20,Shanxi,115
21,Liaoning,105
22,Guizhou,96
23,Tianjin,88
24,Gansu,81
25,Jilin,78
26,Inner Mongolia,54
27,Ningxia,45
28,Xinjiang,45
29,Hong Kong SAR,26
30,Qinghai,18
31,Taipei and environs,17
32,Macao SAR,10
33,Xizang,1
34,Total,37 251
